Title,imdb_id
Tom and Huck,tt0112302
Bad Taste,tt0092610
Babylon 5,tt0105946
Antz,tt0120587
Independence Day,tt0116629
Chicken Run,tt0120630
Out of Sight,tt0120780
The Hunchback of Notre Dame,tt0116583
Real Genius,tt0089886
Braindead,tt0103873
A Time to Kill,tt0117913
Field of Dreams,tt0097351
Army of Darkness,tt0106308
Contact,tt0118884
Star Wars: Episode III - Revenge of the Sith,tt0121766
Whale Rider,tt0298228
A Fish Called Wanda,tt0095159
Dead Man Walking,tt0112818
The City of Lost Children,tt0112682
Show Me Love,tt0150662
The Man Who Wasn't There,tt0243133
Grindhouse,tt0462322
You Can Count on Me,tt0203230
"The Adventures of Priscilla, Queen of the Desert",tt0109045
The Haunting,tt0057129
Midnight Run,tt0095631
A Simple Plan,tt0120324
Leaving Las Vegas,tt0113627
West Side Story,tt0055614
Boys Don't Cry,tt0171804
The Player,tt0105151
Sideways,tt0375063
Man Bites Dog,tt0103905
Pleasantville,tt0120789
Cyrano de Bergerac,tt0099334
National Lampoon's Animal House,tt0077975
High Fidelity,tt0146882
Milk,tt1013753
Hugo,tt0970179
Henry V,tt0097499
The Sweet Hereafter,tt0120255
La Strada,tt0047528
Big Fish,tt0319061
Out of the Past,tt0039689
Pink Floyd: The Wall,tt0084503
Manon of the Spring,tt0091480
Arsenic and Old Lace,tt0036613
Dogville,tt0276919
Jean de Florette,tt0091288
Ip Man,tt1220719
Laura,tt0037008
Sleuth,tt0069281
The Ox-Bow Incident,tt0036244
Kind Hearts and Coronets,tt0041546
Papillon,tt0070511
The Help,tt1454029
Blood Diamond,tt0450259
Groundhog Day,tt0107048
JFK,tt0102138
Dances with Wolves,tt0099348
Guardians of the Galaxy,tt2015381
Central Station,tt0140888
Casino Royale,tt0381061
The Martian,tt3659388
Young Frankenstein,tt0072431
Sling Blade,tt0117666
The Terminator,tt0088247
Stalag 17,tt0046359
All the President's Men,tt0074119
Slumdog Millionaire,tt1010048
Strangers on a Train,tt0044079
Au Revoir les Enfants,tt0092593
The King's Speech,tt1504320
Donnie Darko,tt0246578
The Wizard of Oz,tt0032138
Brief Encounter,tt0037558
Annie Hall,tt0075686
The Diving Bell and the Butterfly,tt0401383
Ratatouille,tt0382932
Rosemary's Baby,tt0063522
Notorious,tt0038787
Sweet Smell of Success,tt0051036
Rain Man,tt0095953
A Fistful of Dollars,tt0058461
The Avengers,tt0848228
Doctor Zhivago,tt0059113
Cinderella Man,tt0352248
Rope,tt0040746
Magnolia,tt0175880
Blade Runner 2049,tt1856101
The Exorcist,tt0070047
The Bourne Ultimatum,tt0440963
"Spring, Summer, Fall, Winter... and Spring",tt0374546
The Iron Giant,tt0129167
High Noon,tt0044706
Rio Bravo,tt0053221
The Maltese Falcon,tt0033870
A Streetcar Named Desire,tt0044081
Battleship Potemkin,tt0015648
Dancer in the Dark,tt0168629
Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980
The Sound of Music,tt0059742
Butch Cassidy and the Sundance Kid,tt0064115
12 Monkeys,tt0114746
The Sea Inside,tt0369702
Sin City,tt0401792
Castle in the Sky,tt0092067
Roman Holiday,tt0046250
Zootopia,tt2948356
The Nightmare Before Christmas,tt0107688
The Thin Man,tt0025878
Aladdin,tt0103639
The Straight Story,tt0166896
Dog Day Afternoon,tt0072890
Solaris,tt0069293
The Hustler,tt0054997
